work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_type,company_location,company_size
2021,EX,FT,Director of Data Science,130026,Germany,Partially Remote,Germany,M
2021,SE,FT,Data Specialist,165000,United States,Remote,United States,L
2021,EN,FT,Data Engineer,80000,United States,Remote,United States,L
2021,EX,FT,Director of Data Science,250000,United States,On-site,United States,L
2021,EN,FT,BI Data Analyst,55000,United States,Partially Remote,United States,S
2021,MI,FT,Data Architect,150000,United States,Remote,United States,L
2021,MI,FT,Data Architect,170000,United States,Remote,United States,L
2021,MI,FT,Data Engineer,82528,Great Britain,Remote,Great Britain,L
2021,EN,FT,Data Analyst,60000,United States,Remote,United States,S
2021,SE,FT,Principal Data Scientist,235000,United States,Remote,United States,L
2021,SE,FT,Research Scientist,60757,Portugal,Partially Remote,Portugal,L
2021,SE,FT,Data Engineering Manager,174000,United States,Remote,United States,L
2021,MI,FT,Data Scientist,2859,Mexico,On-site,Mexico,S
2021,MI,FT,Data Scientist,40038,Chile,Remote,Chile,L
2021,EN,FT,Machine Learning Engineer,81000,United States,Partially Remote,United States,S
2021,MI,FT,Data Scientist,5679,India,Remote,United States,S
2021,MI,FT,Big Data Engineer,22611,India,On-site,India,L
2021,MI,FT,Data Scientist,90734,Germany,Partially Remote,Germany,L
2021,MI,FT,Data Engineer,26005,Romania,On-site,United States,L
2021,SE,FT,Finance Data Analyst,61896,Great Britain,Partially Remote,Great Britain,L
2021,MI,FL,Machine Learning Scientist,12000,Pakistan,Partially Remote,Pakistan,M
2021,MI,FT,Data Engineer,4000,Iran,Remote,Iran,M
2021,SE,FT,Data Analytics Engineer,50000,Viet Nam,Remote,Great Britain,M
2021,EX,FT,Data Science Consultant,69741,France,Remote,Spain,S
2021,SE,FT,Data Engineer,76833,Romania,Partially Remote,Great Britain,S
2021,MI,FT,Machine Learning Engineer,74000,Japan,Partially Remote,Japan,S
2021,SE,FT,Data Science Manager,152000,United States,Remote,France,L
2021,EN,FT,Machine Learning Engineer,21844,Colombia,Partially Remote,Colombia,M
2021,MI,FT,Big Data Engineer,18000,Moldova,On-site,Moldova,S
2021,SE,FT,Data Science Manager,174000,United States,Remote,United States,L
2021,SE,FT,Research Scientist,96113,Canada,Partially Remote,Canada,L
2021,MI,FT,Data Scientist,147000,United States,Partially Remote,United States,L
2021,EN,FT,BI Data Analyst,9272,Kenya,Remote,Kenya,S
2021,SE,FT,Machine Learning Engineer,24342,India,Remote,India,L
2021,SE,FT,Data Science Manager,54094,India,Partially Remote,United States,L
2021,EN,FT,Data Science Consultant,90000,United States,Remote,United States,S
2021,MI,FT,Data Scientist,61467,Germany,Partially Remote,Austria,M
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,United States,Remote,United States,M
2021,MI,FT,Data Scientist,37825,Spain,Remote,Spain,L
2021,SE,FT,Research Scientist,50000,France,Remote,United States,S
2021,MI,FT,Data Scientist,160000,United States,Remote,United States,L
2021,MI,FT,Data Scientist,12901,Brazil,On-site,Brazil,S
2021,SE,FT,Machine Learning Engineer,200000,United States,Remote,United States,L
2021,SE,FT,Data Engineer,165000,United States,On-site,United States,M
2021,MI,FL,Data Engineer,20000,Italy,On-site,United States,L
2021,SE,FT,Data Analytics Manager,120000,United States,On-site,United States,L
2021,MI,FT,Machine Learning Engineer,24823,Slovenia,Partially Remote,Slovenia,L
2021,MI,FT,Research Scientist,56738,France,Partially Remote,France,S
2021,MI,FT,Data Engineer,66022,Hong Kong,Partially Remote,Great Britain,S
2021,EN,FT,Big Data Engineer,5882,India,On-site,Switzerland,L
2021,EN,FT,Machine Learning Engineer,24823,Germany,Partially Remote,Germany,M
2021,SE,FT,Principal Data Engineer,185000,United States,Remote,United States,L
2021,EN,PT,Computer Vision Engineer,28609,Denmark,Partially Remote,Denmark,S
2021,MI,FT,Data Scientist,90734,Germany,Partially Remote,Germany,L
2021,MI,FT,Machine Learning Engineer,88654,Belgium,Remote,Belgium,M
2021,SE,FT,Data Analytics Manager,140000,United States,Remote,United States,L
2021,MI,FT,Machine Learning Engineer,46597,Poland,Remote,Poland,L
2021,MI,FT,Data Scientist,116914,Great Britain,Partially Remote,Great Britain,L
2021,MI,FT,Data Scientist,33808,India,On-site,India,M
2021,MI,FT,Data Scientist,56256,Great Britain,Partially Remote,Great Britain,L
2021,SE,FT,Machine Learning Scientist,225000,United States,Remote,Canada,L
2021,EX,CT,Principal Data Scientist,416000,United States,Remote,United States,S
2021,SE,FT,Data Scientist,87738,Canada,Remote,Canada,S
2021,MI,FT,Data Scientist,88654,Germany,Partially Remote,Germany,L
2021,SE,FT,Data Scientist,135000,United States,On-site,United States,L
2021,SE,FT,Data Analyst,71786,Canada,Remote,Canada,M
2021,EN,FT,Big Data Engineer,16228,India,Remote,India,L
2021,SE,FT,ML Engineer,256000,United States,Remote,United States,S
2021,SE,FT,Director of Data Engineering,200000,United States,Remote,United States,L
2021,SE,FT,Data Analyst,200000,United States,Remote,United States,L
2021,MI,FT,Data Architect,180000,United States,Remote,United States,L
2021,MI,FT,Head of Data Science,110000,United States,On-site,United States,S
2021,MI,FT,Research Scientist,63810,Canada,Remote,Canada,M
2021,MI,FT,Data Scientist,46809,Spain,Remote,Spain,M
2021,EN,FT,Data Scientist,4000,Viet Nam,On-site,Viet Nam,M
2021,EN,FT,Data Engineer,21637,India,Partially Remote,India,M
2021,SE,FT,Data Scientist,103691,Canada,Remote,Canada,L
2021,MI,FT,Data Analyst,80000,United States,Remote,United States,L
2021,MI,FT,Data Engineer,110000,United States,Remote,United States,L
2021,SE,FT,Data Scientist,165000,United States,Remote,United States,L
2021,EN,FT,AI Scientist,18053,India,Remote,American Samoa,S
2021,MI,FT,Data Engineer,72212,Great Britain,Partially Remote,Great Britain,L
2021,EN,FT,Data Scientist,36643,France,Partially Remote,France,L
2021,MI,FT,Data Engineer,12103,Turkey,On-site,Turkey,M
2021,SE,FT,Data Engineer,96282,Great Britain,Partially Remote,Great Britain,L
2021,SE,FT,Principal Data Analyst,170000,United States,Remote,United States,M
2021,MI,FT,Data Scientist,115000,United States,Partially Remote,United States,L
2021,EN,FT,Data Scientist,90000,United States,Remote,United States,S
2021,EX,FT,Principal Data Engineer,600000,United States,Remote,United States,L
2021,EN,FT,Data Scientist,28399,India,Remote,India,M
2021,MI,FT,Data Analyst,93000,United States,Remote,United States,L
2021,SE,FT,Big Data Architect,99703,Canada,Partially Remote,Canada,M
2021,MI,FT,Data Engineer,200000,United States,Remote,United States,L
2021,SE,FT,Principal Data Scientist,173762,Germany,Remote,Germany,M
2021,SE,FT,Machine Learning Engineer,185000,United States,Partially Remote,United States,L
2021,EX,FT,Director of Data Science,141846,Germany,On-site,Germany,L
2021,MI,FT,Data Scientist,130000,United States,Partially Remote,United States,L
2021,SE,FT,Data Analyst,63831,Germany,Partially Remote,Germany,L
2021,MI,FT,Data Scientist,16904,India,Remote,India,S
2021,SE,FT,Machine Learning Engineer,66265,India,On-site,India,L
2021,MI,FT,Data Scientist,25532,Serbia,Remote,Germany,S
2021,SE,FT,Lead Data Engineer,160000,Puerto Rico,Partially Remote,United States,S
2021,MI,FT,Data Engineer,93150,United States,On-site,United States,M
2021,MI,FT,Data Engineer,111775,United States,On-site,United States,M
2021,MI,FT,Data Engineer,28016,Turkey,Remote,Turkey,M
2021,EN,FT,Data Engineer,65013,Germany,Partially Remote,Germany,M
2021,EN,FT,Data Engineer,72500,United States,Remote,United States,L
2021,SE,FT,Computer Vision Engineer,18907,Brazil,On-site,Brazil,M
2021,EN,FT,Data Science Consultant,76833,Germany,On-site,Germany,L
2021,EN,FT,Machine Learning Engineer,85000,Netherlands,Remote,Germany,S
2021,SE,FT,Data Scientist,77684,France,Partially Remote,France,M
2021,EN,FT,Data Scientist,100000,United States,Remote,United States,M
2021,EN,FT,Data Scientist,58000,United States,Partially Remote,United States,L
2021,SE,FT,AI Scientist,55000,Spain,Remote,Spain,L
2021,SE,FT,Data Scientist,20171,Turkey,Partially Remote,Turkey,L
2021,EN,FT,Business Data Analyst,59102,Luxembourg,Remote,Luxembourg,L
2021,MI,FT,Data Engineer,112000,United States,Remote,United States,L
2021,EN,FT,Research Scientist,100000,Jersey,On-site,China,L
2021,MI,PT,Data Engineer,69741,Netherlands,Remote,Netherlands,L
2021,SE,CT,Staff Data Scientist,105000,United States,Remote,United States,M
2021,MI,FT,Research Scientist,69999,Czechia,Partially Remote,Czechia,L
2021,SE,FT,Data Science Manager,94665,India,Partially Remote,India,L
2021,SE,FT,Head of Data,102839,Slovenia,Remote,Slovenia,L
2021,MI,FT,Data Scientist,109000,United States,Partially Remote,United States,L
2021,MI,FT,Machine Learning Engineer,51064,Italy,Partially Remote,Italy,L
2022,SE,FT,Data Engineer,135000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,155000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,120600,United States,Remote,United States,M
2022,MI,FT,Data Scientist,130000,United States,On-site,United States,M
2022,MI,FT,Data Scientist,90000,United States,On-site,United States,M
2022,MI,FT,Data Engineer,170000,United States,Remote,United States,M
2022,MI,FT,Data Engineer,150000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,102100,United States,Remote,United States,M
2022,SE,FT,Data Analyst,84900,United States,Remote,United States,M
2022,SE,FT,Data Scientist,136620,United States,Remote,United States,M
2022,SE,FT,Data Scientist,99360,United States,Remote,United States,M
2022,SE,FT,Data Scientist,117789,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Scientist,104702,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Scientist,146000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,123000,United States,Remote,United States,M
2022,EN,FT,Data Engineer,52351,Great Britain,Remote,Great Britain,M
2022,SE,FT,Data Analyst,99000,United States,On-site,United States,M
2022,SE,FT,Data Analyst,116000,United States,On-site,United States,M
2022,MI,FT,Data Analyst,106260,United States,On-site,United States,M
2022,MI,FT,Data Analyst,126500,United States,On-site,United States,M
2022,EX,FT,Data Engineer,242000,United States,Remote,United States,M
2022,EX,FT,Data Engineer,200000,United States,Remote,United States,M
2022,MI,FT,Data Scientist,65438,Great Britain,On-site,Great Britain,M
2022,MI,FT,Data Scientist,39263,Great Britain,On-site,Great Britain,M
2022,MI,FT,Data Engineer,78526,Great Britain,On-site,Great Britain,M
2022,MI,FT,Data Engineer,52351,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Scientist,165220,United States,Remote,United States,M
2022,EN,FT,Data Engineer,45807,Great Britain,Remote,Great Britain,M
2022,SE,FT,Data Scientist,120160,United States,Remote,United States,M
2022,SE,FT,Data Analyst,90320,United States,Remote,United States,M
2022,SE,FT,Data Engineer,181940,United States,On-site,United States,M
2022,SE,FT,Data Engineer,132320,United States,On-site,United States,M
2022,SE,FT,Data Engineer,220110,United States,On-site,United States,M
2022,SE,FT,Data Engineer,160080,United States,On-site,United States,M
2022,SE,FT,Data Scientist,180000,United States,On-site,United States,L
2022,SE,FT,Data Scientist,120000,United States,On-site,United States,L
2022,SE,FT,Data Analyst,124190,United States,Remote,United States,M
2022,EX,FT,Data Analyst,130000,United States,Remote,United States,M
2022,EX,FT,Data Analyst,110000,United States,Remote,United States,M
2022,SE,FT,Data Analyst,170000,United States,Remote,United States,M
2022,MI,FT,Data Analyst,115500,United States,Remote,United States,M
2022,SE,FT,Data Analyst,112900,United States,Remote,United States,M
2022,SE,FT,Data Analyst,90320,United States,Remote,United States,M
2022,SE,FT,Data Analyst,112900,United States,Remote,United States,M
2022,SE,FT,Data Analyst,90320,United States,Remote,United States,M
2022,SE,FT,Data Engineer,165400,United States,Remote,United States,M
2022,SE,FT,Data Engineer,132320,United States,Remote,United States,M
2022,MI,FT,Data Analyst,167000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,243900,United States,Remote,United States,M
2022,SE,FT,Data Analyst,136600,United States,Remote,United States,M
2022,SE,FT,Data Analyst,109280,United States,Remote,United States,M
2022,SE,FT,Data Engineer,128875,United States,Remote,United States,M
2022,SE,FT,Data Engineer,93700,United States,Remote,United States,M
2022,EX,FT,Head of Data Science,224000,United States,Remote,United States,M
2022,EX,FT,Head of Data Science,167875,United States,Remote,United States,M
2022,EX,FT,Analytics Engineer,175000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,156600,United States,Remote,United States,M
2022,SE,FT,Data Engineer,108800,United States,On-site,United States,M
2022,SE,FT,Data Scientist,95550,United States,On-site,United States,M
2022,SE,FT,Data Engineer,113000,United States,On-site,United States,L
2022,SE,FT,Data Analyst,135000,United States,Remote,United States,M
2022,SE,FT,Data Science Manager,161342,United States,Remote,United States,M
2022,SE,FT,Data Science Manager,137141,United States,Remote,United States,M
2022,SE,FT,Data Scientist,167000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,123000,United States,Remote,United States,M
2022,SE,FT,Data Engineer,78526,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Engineer,65438,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Scientist,150000,United States,On-site,United States,M
2022,SE,FT,Data Scientist,211500,United States,Remote,United States,M
2022,SE,FT,Data Architect,192400,Canada,Remote,Canada,M
2022,SE,FT,Data Architect,90700,Canada,Remote,Canada,M
2022,SE,FT,Data Analyst,130000,Canada,Remote,Canada,M
2022,SE,FT,Data Analyst,61300,Canada,Remote,Canada,M
2022,SE,FT,Data Analyst,130000,Canada,Remote,Canada,M
2022,SE,FT,Data Analyst,61300,Canada,Remote,Canada,M
2022,SE,FT,Data Engineer,160000,United States,On-site,United States,L
2022,SE,FT,Data Scientist,138600,United States,Remote,United States,M
2022,SE,FT,Data Engineer,136000,United States,On-site,United States,M
2022,MI,FT,Data Analyst,58000,United States,On-site,United States,S
2022,EX,FT,Analytics Engineer,135000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,170000,United States,Remote,United States,M
2022,SE,FT,Data Scientist,123000,United States,Remote,United States,M
2022,SE,FT,Machine Learning Engineer,189650,United States,On-site,United States,M
2022,SE,FT,Machine Learning Engineer,164996,United States,On-site,United States,M
2022,MI,FT,ETL Developer,54957,Greece,On-site,Greece,M
2022,MI,FT,ETL Developer,54957,Greece,On-site,Greece,M
2022,EX,FT,Lead Data Engineer,118187,Canada,Remote,Canada,S
2022,SE,FT,Data Analyst,132000,United States,On-site,United States,M
2022,SE,FT,Data Engineer,165400,United States,Remote,United States,M
2022,SE,FT,Data Architect,208775,United States,Remote,United States,M
2022,SE,FT,Data Architect,147800,United States,Remote,United States,M
2022,SE,FT,Data Engineer,136994,United States,Remote,United States,M
2022,SE,FT,Data Engineer,101570,United States,Remote,United States,M
2022,SE,FT,Data Analyst,128875,United States,Remote,United States,M
2022,SE,FT,Data Analyst,93700,United States,Remote,United States,M
2022,EX,FT,Head of Machine Learning,79039,India,Partially Remote,India,L
2022,SE,FT,Data Engineer,132320,United States,Remote,United States,M
2022,EN,FT,Machine Learning Engineer,37300,Great Britain,Remote,Great Britain,L
2022,SE,FT,Data Analyst,164000,United States,On-site,United States,M
2022,SE,FT,Data Engineer,155000,United States,Remote,United States,M
2022,MI,FT,Machine Learning Engineer,124333,Great Britain,On-site,Great Britain,M
2022,MI,FT,Machine Learning Engineer,98158,Great Britain,On-site,Great Britain,M
2022,MI,FT,AI Scientist,120000,United States,On-site,United States,M
2022,SE,FT,Data Analyst,112900,United States,Remote,United States,M
2022,SE,FT,Data Analyst,90320,United States,Remote,United States,M
2022,SE,FT,Data Analytics Manager,145000,United States,Remote,United States,M
2022,SE,FT,Data Analytics Manager,105400,United States,Remote,United States,M
2022,MI,FT,Machine Learning Engineer,87932,France,Remote,Germany,M
2022,MI,FT,Data Engineer,117789,Great Britain,On-site,Great Britain,M
2022,SE,FT,Data Scientist,215300,United States,Remote,United States,L
2022,SE,FT,Data Scientist,158200,United States,Remote,United States,L
2022,SE,FT,Data Engineer,209100,United States,Remote,United States,L
2022,SE,FT,Data Engineer,154600,United States,Remote,United States,L
2022,SE,FT,Data Analyst,115934,United States,On-site,United States,M
2022,SE,FT,Data Analyst,81666,United States,On-site,United States,M
2022,SE,FT,Data Engineer,175000,United States,Remote,United States,M
2022,MI,FT,Data Engineer,98158,Great Britain,On-site,Great Britain,M
2022,MI,FT,Data Analyst,58000,United States,On-site,United States,S
2022,SE,FT,Data Engineer,183600,United States,Remote,United States,L
2022,MI,FT,Data Analyst,52351,Great Britain,Remote,Great Britain,M
